Match_id,Team,Home_Away,Outcome,Goals,Opponent,Team_penalties,Penalties_outcome,Team_points,Match_Stadium,Team_pic_urls,League,Goal_Difference,matchAttendance,matchCity,matchState,matchReferee,match_ast_referee1,match_ast_referee2,match_fourth_official,match_VAR,match_ast_VAR,Possession1,Shots2,Shots_on_Goal3,Blocked_Shots4,Total_Passes5,Passing_Accuracy6,Corners7,Crosses8,Offsides9,Duels_Won10,Won_Tackles11,Saves12,Clearances13,Fouls14,Yellow_Cards15,Red_Cards16,Overall17,Attacking_Half18,Final_Third19,Crosses20,Goals21,On_Target22,Off_Target23,Blocked24,Goals_Conceded25,Shots_Against26,Clean_Sheets27,XG_Conceded28,Interceptions29,Goals30,On_Target31,Off_Target32,Blocked33,Overall34,Attacking_Half35,Final_Third36,Crosses37
1,Cruz Azul,Home,L,1,Miami,0,NA,0,DRV PNK Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-CAZ-480x480_yl8vcz.png",Liga MX,1,"20,512",Fort Lauderdale, Florida,Héctor Said Martínez,Walter López,Christian Ramirez,Nelson Salgado,Luis Enrique Santander Aguirre,Jozef Batko,47.6,18,8,1,395,86.3,8,11,2,50,12,4,11,12,1,0,86.3,76.5,75,11.8,1,8,9,1,2,12,0,0.9,9,1,8,9,1,86.3,76.5,75,11.8
1,Miami,Away,W,2,Cruz Azul,0,NA,3,DRV PNK Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MIA_logo_Full_Color_480x480.png",MLS,1,"20,512",Fort Lauderdale, Florida,Héctor Said Martínez,Walter López,Christian Ramirez,Nelson Salgado,Luis Enrique Santander Aguirre,Jozef Batko,52.4,12,6,2,439,87.9,4,7,2,40,3,7,20,14,1,0,87.9,82.8,82.1,22.2,2,6,4,2,1,18,0,1.2,10,2,6,4,2,87.9,82.8,82.1,22.2
2,Orlando,Home,T,1,Houston,5,W,2,Exploria Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/ORL_logo_Full_Color_480x480.png",MLS,0,"14,005",Orlando, Florida,Filip Dujic,Ryan Graves,Kevin Lock,Kimbell Ward,Óscar Macías Romo,Kimbell Ward,54.8,16,5,5,443,84.4,8,16,2,46,8,0,11,12,4,0,84.4,76.1,76.1,27.3,1,5,6,5,1,7,0,1.1,5,1,5,6,5,84.4,76.1,76.1,27.3
2,Houston,Away,T,1,Orlando,4 ,L,1,Exploria Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/HOU_logo_Full_Color_480x480.png",MLS,0,"14,005",Orlando, Florida,Filip Dujic,Ryan Graves,Kevin Lock,Kimbell Ward,Óscar Macías Romo,Kimbell Ward,45.2,7,1,2,370,77.3,2,9,1,35,11,4,17,10,0,0,77.3,66,59.8,27.3,1,1,4,2,1,16,0,1.3,6,1,1,4,2,77.3,66,59.8,27.3
3,Austin,Home,L,1,Mazatlán,0,NA,0,Q2 Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/ATX_Club_logo_Full_Color_480x480.png",MLS,2,"20,738",Austin, Texas,Randy Encarnación Solano,Zachari Zeegelaar,Helpys Feliz,Ricangel De Leca,Ricardo Montero,Mario Terrazas Chávez,65.1,10,3,2,494,89.3,12,25,3,34,8,2,12,6,1,0,89.3,81,82.2,21.9,1,3,5,2,3,10,0,1,2,1,3,5,2,89.3,81,82.2,21.9
3,Mazatlán,Away,W,3,Austin,0,NA,3,Q2 Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-MAZ-480x480_jjpj81.png",Liga MX,2,"20,738",Austin, Texas,Randy Encarnación Solano,Zachari Zeegelaar,Helpys Feliz,Ricangel De Leca,Ricardo Montero,Mario Terrazas Chávez,34.9,10,5,1,272,78.3,2,8,0,25,5,2,28,8,0,0,78.3,60.1,51.6,11.1,3,5,4,1,1,10,0,1.2,6,3,5,4,1,78.3,60.1,51.6,11.1
4,Dallas,Home,T,2,Charlotte,1 ,L,1,Toyota Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/DAL_logo_Full_Color_480x480.png",MLS,0,"10,425",Frisco, Texas,Jorge Abraham Camacho Peregrina,Enrique Martínez Sandoval,Michel Caballero Galicia,Sergio Reyna,Diego Montaño Robles,Benjamin Whitty,38,10,6,1,350,79.1,1,3,0,31,6,2,19,8,1,0,79.1,62.4,57,25,2,6,3,1,2,5,0,1.2,9,2,6,3,1,79.1,62.4,57,25
4,Charlotte,Away,T,2,Dallas,4,W,2,Toyota Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/CLT_logo_Full_Color_480x480.png",MLS,0,"10,425",Frisco, Texas,Jorge Abraham Camacho Peregrina,Enrique Martínez Sandoval,Michel Caballero Galicia,Sergio Reyna,Diego Montaño Robles,Benjamin Whitty,62,5,4,0,554,87,5,17,2,38,5,4,5,9,3,0,87,75,73.3,0,2,4,1,0,2,10,0,1.3,7,2,4,1,0,87,75,73.3,0
5,León,Home,T,2,Vancouver,16,W,2,BC Place,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-LEO-480x480_uqylpo.png",Liga MX,0,"17,391",Vancouver, BC,Fernando Guerrero Ramírez,Pablo Israel Hernández Luna,Michel Ricardo Espinoza Avalos,Abraham de Jesús Contreras,Óscar Mejía García,Fabio Tovar,64.7,14,4,6,554,84.8,11,17,2,46,6,0,14,13,4,0,84.8,75.7,78.1,20,2,4,4,6,2,8,0,1,9,2,4,4,6,84.8,75.7,78.1,20
5,Vancouver,Away,T,2,León,15,L,1,BC Place,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/VAN_logo_Full_Color_480x480.png",MLS,0,"17,391",Vancouver, BC,Fernando Guerrero Ramírez,Pablo Israel Hernández Luna,Michel Ricardo Espinoza Avalos,Abraham de Jesús Contreras,Óscar Mejía García,Fabio Tovar,35.3,8,2,2,303,77.2,2,10,4,47,10,2,30,13,1,0,77.2,53.9,47.4,25,2,2,4,2,2,14,0,0.8,10,2,2,4,2,77.2,53.9,47.4,25
6,Montréal,Home,T,2,Pumas,4,W,2,Stade Saputo,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MTL_logo_Full_Color_480x480.png",MLS,0,"19,619",Montreal, QC,Keylor Herrera Villalobos,William Chow,Diego Blas,Sanchez Bass,Ricardo Montero,Tristley Bassue,46.5,7,4,1,347,71.2,4,7,2,66,12,1,13,16,3,0,71.2,56.9,58.2,9.1,2,4,2,1,2,13,0,1.7,13,2,4,2,1,71.2,56.9,58.2,9.1
6,Pumas,Away,T,2,Montréal,2 ,L,1,Stade Saputo,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-UNAM-480x480_eqz88y.png",Liga MX,0,"19,619",Montreal, QC,Keylor Herrera Villalobos,William Chow,Diego Blas,Sanchez Bass,Ricardo Montero,Tristley Bassue,53.5,13,3,7,391,74.4,2,18,0,66,10,1,6,20,2,0,74.4,63.3,51.7,40,2,3,3,7,2,7,0,0.5,11,2,3,3,7,74.4,63.3,51.7,40
