Team,Team_pic_urls,League
Cruz Azul,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-CAZ-480x480_yl8vcz.png",Liga MX
Miami,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MIA_logo_Full_Color_480x480.png",MLS
Orlando,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/ORL_logo_Full_Color_480x480.png",MLS
Houston,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/HOU_logo_Full_Color_480x480.png",MLS
Austin,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/ATX_Club_logo_Full_Color_480x480.png",MLS
Mazatlán,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-MAZ-480x480_jjpj81.png",Liga MX
Dallas,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/DAL_logo_Full_Color_480x480.png",MLS
Charlotte,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/CLT_logo_Full_Color_480x480.png",MLS
León,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-LEO-480x480_uqylpo.png",Liga MX
Vancouver,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/VAN_logo_Full_Color_480x480.png",MLS
Montréal,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MTL_logo_Full_Color_480x480.png",MLS
Pumas,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-UNAM-480x480_eqz88y.png",Liga MX
New York,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/RBNY_logo_Full_Color_480x480.png",MLS
New England,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NE_logo_Full_Color_480x480.png",MLS
Philadelphia,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/PHI_logo_Full_Color_480x480.png",MLS
Tijuana,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-TIJ-480x480_bzdds9.png",Liga MX
Salt Lake,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/RSL_logo_Full_Color_480x480.png",MLS
Seattle,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/SEA_logo_Full_Color_480x480.png",MLS
Portland,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/POR_logo_Full_Color_480x480.png",MLS
San Jose,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/SJ_logo_Full_Color_480x480.png",MLS
New York City,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NYC_logo_Full_Color_480x480.png",MLS
Atlas,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-ATL-Dark-480x480_echrk5.png",Liga MX
Cincinnati,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/CIN_logo_Full_Color_480x480.png",MLS
Kansas City,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/KC_logo_Full_Color_480x480.png",MLS
Nashville,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NAS_logo_Full_Color_480x480.png",MLS
Colorado,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/COL_logo_Full_Color_480x480.png",MLS
Puebla,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-PUE-480x480_blgkam.png",Liga MX
Minnesota,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MIN_logo_Full_Color_480x480.png",MLS
